character,name,unicode,css_escape,category
▿,triangledown,U+25BF,\25BF,Geometric and shape symbols
▪,blacksquare,U+25AA,\25AA,Geometric and shape symbols
◊,lozenge,U+25CA,\25CA,Geometric and shape symbols
∅,varnothing,U+E009,\E009,Set theory and logic
△,vartriangle,U+25B3,\25B3,Geometric and shape symbols
⋰,iddots,U+22F0,\22F0,Dots and ellipses
A,mathcal_A,U+E00A,\E00A,Styled alphabets
B,mathcal_B,U+E00B,\E00B,Styled alphabets
C,mathcal_C,U+E00C,\E00C,Styled alphabets
D,mathcal_D,U+E00D,\E00D,Styled alphabets
E,mathcal_E,U+E00E,\E00E,Styled alphabets
F,mathcal_F,U+E00F,\E00F,Styled alphabets
G,mathcal_G,U+E010,\E010,Styled alphabets
H,mathcal_H,U+E011,\E011,Styled alphabets
L,mathcal_L,U+E012,\E012,Styled alphabets
M,mathcal_M,U+E013,\E013,Styled alphabets
N,mathcal_N,U+E014,\E014,Styled alphabets
O,mathcal_O,U+E015,\E015,Styled alphabets
P,mathcal_P,U+E016,\E016,Styled alphabets
R,mathcal_R,U+E017,\E017,Styled alphabets
S,mathcal_S,U+E018,\E018,Styled alphabets
T,mathcal_T,U+E019,\E019,Styled alphabets
U,mathcal_U,U+E01A,\E01A,Styled alphabets
X,mathcal_X,U+E01B,\E01B,Styled alphabets
Z,mathcal_Z,U+E01C,\E01C,Styled alphabets
A,mathfrak_A,U+E01D,\E01D,Styled alphabets
M,mathfrak_M,U+E01E,\E01E,Styled alphabets
S,mathfrak_S,U+E01F,\E01F,Styled alphabets
X,mathfrak_X,U+E020,\E020,Styled alphabets
𝟙,mathbb_1,U+1D7D9,\1D7D9,Styled alphabets
1,mathds_1,U+E021,\E021,Styled alphabets
C,mathds_C,U+E022,\E022,Styled alphabets
E,mathds_E,U+E023,\E023,Styled alphabets
N,mathds_N,U+E024,\E024,Styled alphabets
P,mathds_P,U+E025,\E025,Styled alphabets
Q,mathds_Q,U+E026,\E026,Styled alphabets
R,mathds_R,U+E027,\E027,Styled alphabets
Z,mathds_Z,U+E028,\E028,Styled alphabets
A,mathscr_A,U+E029,\E029,Styled alphabets
C,mathscr_C,U+E02A,\E02A,Styled alphabets
D,mathscr_D,U+E02B,\E02B,Styled alphabets
E,mathscr_E,U+E02C,\E02C,Styled alphabets
F,mathscr_F,U+E02D,\E02D,Styled alphabets
H,mathscr_H,U+E02E,\E02E,Styled alphabets
L,mathscr_L,U+E02F,\E02F,Styled alphabets
P,mathscr_P,U+E030,\E030,Styled alphabets
S,mathscr_S,U+E031,\E031,Styled alphabets
℃,celsius,U+2103,\2103,"Currency, legal, and text symbols"
°,degree,U+00B0,\B0,"Currency, legal, and text symbols"
Ω,ohm,U+E032,\E032,"Currency, legal, and text symbols"
♀,venus,U+2640,\2640,Geometric and shape symbols
♂,mars,U+2642,\2642,Geometric and shape symbols
☉,astrosun,U+2609,\2609,Geometric and shape symbols
●,fullmoon,U+25CF,\25CF,Geometric and shape symbols
◐,leftmoon,U+25D0,\25D0,Geometric and shape symbols
♀,female,U+E033,\E033,Scientific and miscellaneous symbols
♂,male,U+E034,\E034,Scientific and miscellaneous symbols
✓,checked,U+E035,\E035,Geometric and shape symbols
⌀,diameter,U+2300,\2300,Geometric and shape symbols
☀,sun,U+2600,\2600,Geometric and shape symbols
⋈,Bowtie_2,U+E036,\E036,Geometric and shape symbols
ℚ,mathbb_Q,U+211A,\211A,Styled alphabets
ℕ,mathbb_N,U+2115,\2115,Styled alphabets
ℤ,mathbb_Z,U+2124,\2124,Styled alphabets
ℍ,mathbb_H,U+210D,\210D,Styled alphabets
ß,ss,U+00DF,\DF,"Currency, legal, and text symbols"
å,a_ring_lower,U+00E5,\E5,"Currency, legal, and text symbols"
Ł,L,U+0141,\141,"Currency, legal, and text symbols"
Å,A_ring_upper,U+00C5,\C5,"Currency, legal, and text symbols"
Ø,O_slash_upper,U+00D8,\D8,"Currency, legal, and text symbols"
ø,o_slash_lower,U+00F8,\F8,"Currency, legal, and text symbols"
æ,ae_lower,U+00E6,\E6,"Currency, legal, and text symbols"
Æ,AE_upper,U+00C6,\C6,"Currency, legal, and text symbols"
«,guillemotleft,U+00AB,\AB,"Currency, legal, and text symbols"
!,exclamation,U+0021,\21,"Currency, legal, and text symbols"
(,left_parenthesis,U+0028,\28,Brackets and delimiters
),right_parenthesis,U+0029,\29,Brackets and delimiters
",",comma,U+002C,\2C,"Currency, legal, and text symbols"
=,equals,U+003D,\3D,Relations and comparison symbols
cos,cos,U+E037,\E037,Scientific and miscellaneous symbols
sin,sin,U+E038,\E038,Scientific and miscellaneous symbols
tan,tan,U+E039,\E039,Scientific and miscellaneous symbols
log,log,U+E03A,\E03A,Scientific and miscellaneous symbols
lim,lim,U+E03B,\E03B,Scientific and miscellaneous symbols
?,question,U+003F,\3F,"Currency, legal, and text symbols"
.,period,U+002E,\2E,Dots and ellipses
;,semicolon,U+003B,\3B,"Currency, legal, and text symbols"
:,colon,U+003A,\3A,"Currency, legal, and text symbols"
',apostrophe,U+0027,\27,"Currency, legal, and text symbols"
"""",quote,U+0022,\22,"Currency, legal, and text symbols"
@,at,U+0040,\40,"Currency, legal, and text symbols"
¿,inverted_question,U+00BF,\BF,"Currency, legal, and text symbols"
¡,inverted_exclamation,U+00A1,\A1,"Currency, legal, and text symbols"
€,euro,U+20AC,\20AC,"Currency, legal, and text symbols"
ü,latin_lower_u_diaeresis,U+00FC,\FC,Latin letters and numbers
Ü,latin_upper_u_diaeresis,U+00DC,\DC,Latin letters and numbers
t,latin_lower_t,U+0074,\74,Latin letters and numbers
Ä,latin_upper_a_diaeresis,U+00C4,\C4,Latin letters and numbers
ä,latin_lower_a_diaeresis,U+00E4,\E4,Latin letters and numbers
Ö,latin_upper_o_diaeresis,U+00D6,\D6,Latin letters and numbers
ö,latin_lower_o_diaeresis,U+00F6,\F6,Latin letters and numbers
